name,lat,lng,region,grade,crag,lists,description,url
Porcupine Ridge (Craig Braich Ty Du),53.13870,-4.01410,Gwynedd,Grade-3,Craig Braich Ty Du (Pen yr Ole Wen),british_3_star,"Grade 3 scramble · Craig Braich Ty Du (Pen yr Ole Wen) · ★★★

Start from top of Pinnacle Ridge. Looking up, Porcupine Ridge is the left of two buttresses in front of the summit when looking up to the skyline. From the starting point, ascend the steep, wet gully on the left of the large Buttress above. Continue past some smaller, mossy, heathery lumps to the cleaner rock ridges above. The route begins in the middle of the first few ""spines"", and gains the broken triangular face. 



The full route description can be found in Steve Ashton's revised 2017 scrambling guide as ""Route 2 Braich Tŷ Du Face"".

Rockfax: An amazing ridge with maximum excitement only spoilt by a rather long and winding approach. The upper section is best saved for a clear day since it is very difficult to find in poor visibility. The scrambling is pretty sustained and a rope is recommended as there is some loose rock and the climbing is exposed. Complete Pinnacle Ridge. Then go halfway up a heathery gully. Traverse left to the ridge and stomp up the heather to where it eases. A short easier section of scree leads to a path traversing left. Follow this briefly and then go back up and right until you can see a way across into a bay below a short buttress. Go left of buttress and back right above it via a grassy ridge. Trend down and right towards the start of another prickly ridge.
1) Scramble up the ridge over some spines. As this turns into a more defined ridge the difficulty increases. 
2) At a difficult section, go up and over the ridge on the right into a bay with a chaos of boulders. Then carry along the ridge to a short triangular wall that blocks the way. 
3) The right arete of this is easiest and care is needed to protect the second when you head along the ridge to a much more formidable impasse.
4) On the left is a ramp with a very long spike, which provides a good belay and the way upwards onto an open slab that is followed to another tower that blocks the way. 
5) Go right around the tower - lower is better - to a tight gap in the ridge. Pass through this and belay on a slab below a wall. 
6) The crux wall is technical and sustained. Climb it along a slight left-trending line to its top. 
7) The sharp ridge continues briefly, but all to soon turns into a heathery rib on the flanks of Pen yr Ole Wen. Join the main Southwest Ridge of Pen yr Ole Wen at its end.
Descent - Go up or down the Southwest Ridge of Pen yr Ole Wen. You can also descend the East Ridge of Pen yr Ole Wen and then walk back along the shores of Llyn Ogwen to the car.",https://www.ukclimbing.com/logbook/crags/craig_braich_ty_du_pen_yr_ole_wen-525/porcupine_ridge-584293
Senior's Ridge / Crib y Clogwyn Du (Cwm Idwal [Idwal Slabs]),53.11040,-4.02540,Gwynedd,Grade-1,Cwm Idwal [Idwal Slabs],ew_classics,"Grade 1 scramble · Cwm Idwal [Idwal Slabs] · ★★

This ridge separates Cwm Idwal from Cwm Cneifion. Approach along the path from Cwm Idwal or by a climb/scramble on the Idwal Slabs. A path attempts to avoid the rock and many scrambling lines are possible. There are steep walls to the right of the crest that offer grade 2 and 3 options but some of the rock is loose/vegetated. The ridge finishes on Glyder Fawr's summit plateau.

Rockfax: Senior's Ridge is an open scramble with a couple of hard steps interspersed by easy walking. It is a great way up Glyder Fawr, but as a scramble it lacks continuity. The base of Senior's Ridge can be reached from Cwm Cneifion, but in dry conditions Senior's Gully or the Indirect Start to Senior's Ridge make a good start at comparable grades. The route starts in the back of Cwm Cneifion, at the top of Senior's Gully, by a large prominent boulder. This boulder has some pockets and gives some good scrambling. 
1) Go up and right along a small path to a grassy plateau, where a high traverse line takes you back left across the tops of some slabby rocks. At the end of the traverse a path zigs back right and over a rock step before heading into a grassy bay.
2) The best scrambling is up the groove in the blunt left rib. This is gained by heading up and left from the grassy bay, across a short rock slab, to reach the base of a long (but well featured) groove. At the top of this rock step, follow a path up and right. 
3) The path eventually swings up and left just before a rock step. This step is avoidable by taking the path to its left but it does offer some fun (if exposed) scrambling if you take it. 
4) To climb the rock step, stop at the short wall and go over to a small groove and climb this briefly before heading right where there is an exposed drop. Go round here and then back up left to the higher buttress where a long but reasonable scramble takes you up featured rock to arrive back on the grassy hillside.
5) At the top, rejoin the path as it heads up and left away from the edge of the cwm towards the summit plateau. In poor visibility, navigation to the top of Glyder Fawr requires challenging walking on a bearing.
Descent - Go back down y Gribin or by reversing Glyder Fawr via The Devil's Kitchen.",https://www.ukclimbing.com/logbook/crags/cwm_idwal-496/seniors_ridge__crib_y_clogwyn_du-50998
Sentries Ridge (Craig y Bera),53.06330,-4.17280,Gwynedd,Grade-3,Craig y Bera,british_3_star+ew_classics+ridges_ewi,"Grade 3 scramble · Craig y Bera · ★★★

Easy climbing and scrambling leads up a pinnacled ridge towards the summit of Mynydd Mawr. Watch out for loose rock.

Rockfax: A stunning ridge that is a good companion to its harder left-hand neighbour taking in similar ground. The blocky nature of the rock means there can be some loose holds. Start from the base of the right-hand ridge.
1) From the toe of the ridge, avoid the initial steep wall up slippery scree on the right and go back left above it. 
2) Once on the ridge follow it upwards as it narrows to a section with some spectacular gendarmes that guard the way. 
3) The ridge carries on past a few more exposed pinnacles before arriving at a grassy col. 
4) The tower above can be climbed direct which is quite exposed. Alternatively you can step right into the heather gully on its right-hand side.
5) From here, the scrambling is easy enough to follow to the grassy top-out where a small path leads to the main track. Turn left for the summit or right to descend.
Descent - As for Pinnacle Ridge Variation.",https://www.ukclimbing.com/logbook/crags/craig_y_bera-2587/sentries_ridge-41516
Shark Buttress (Glyder Fach),53.10435,-4.00804,Gwynedd,Grade-3,Glyder Fach,british_3_star,"Grade 3 scramble · Glyder Fach · ★★★

Aka Shark Pinnacle (Hawks Nest Buttress Scramble)

Grade M / 3

Rockfax: Shark Buttress is one of the big three routes of Glyder Fach. Its eponymous pinnacle looks like a shark's head, frozen in geological time, breaching the cliff face. A great photo opportunity and a must for anyone's Insta-Face-Tweet! 
Start up Main Gully and, before it gets steep, go right along a terrace across the top of the Alphabet Slab past East Gully and carry on traversing the grass break to the next steep buttress. 
1) Head boldly but easily up to a ledge at the base of the left arete of the steep buttress. 
2) Go up and right across the slabs to reach a small ledge and traverse this right to a niche by some blocks. Carry on shuffling right to gain a narrow ledge/trench above a large flake. 
3) Tricky moves up a smooth slab lead quickly to a grassy ledge below the right arete of the steep buttress.
4) Go up the gully on the right side of the buttress for a few metres to where a corner leads you back left onto the crest. An awkward exit leads to a small bay below a smooth groove with a couple of cracks. 
5) Climb the groove to a spike. Stand on it and arrange a sling before summing up the courage to make a bold step out left to the edge of the buttress. Easier moves lead to below the Shark's Jaw pinnacles that rise up above you. 
6) Gain the pinnacles by an easy scramble to the right. Photo opportunity. To reach the top climb the side facing the mountain before a careful sliding descent.
7) The next step is easier than it first appears. The easiest way is to gain the grassy gully on the left and go up here until you can trend up and right to regain the buttress. 
8) Go straight over some tricky steps to reach a large grass terrace with a short but hard-looking quartz-riddled step. This can be passed on the left or direct. 
9) Above is a large perched pinnacle. Pass through this steepening just to the left of the looming pinnacle.
10) Continue up the ridge that becomes more prominent from the hillside, to eventually traverse its crest before the ridge disappears into a more open rocky hillside. A short easy scramble leads more or less direct to the summit plateau of Glyder Fach just below the true summit.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/shark_buttress-58491
Slanting Buttress Ridge Route (Y Lliwedd),53.05915,-4.05762,Gwynedd,D,Y Lliwedd,ridges_ewi,"Difficult (easy rock climb) · Y Lliwedd · ★★

A long Diff mountaineering ridge up Y Lliwedd's Slanting Buttress — big, atmospheric Snowdon Horseshoe rock at a gentle standard.",https://www.ukclimbing.com/logbook/crags/y_lliwedd-1214/slanting_buttress_ridge_route-29156
Sub-Cneifion Rib (Sub Cneifion Rib),53.10930,-4.02100,Gwynedd,VD,Sub Cneifion Rib,ridges_ewi,"Very Difficult (easy rock climb) · 125m · Sub Cneifion Rib · ★★★

Over to the left of Idwal Slabs past the descent route, on its own buttress. 4-6 pitches. Excellent, sustained climbing between good belay ledges. The long traverse pitch rightwards to reach the right arête is more of a walk/easy scramble.

Rockfax: An immaculate trip following the beautiful barrel on perfect rock. Large belay ledges and easy escape options make this route feel less committing than its Idwal Slab neighbours. The line seeks out the best rock on the buttress. A great day can be had by climbing with you gear and walking right at the top to tackle Cneifion Arete.
1) 30m. A 3-star pitch in its own right. Start below the pointed boulder and follow the groove, crack, then slab, to the bulge. Pass this on the left (tricky) and finish up the slab to a large belay ledge.
2) 35m. Wander left easily to reach the next true section of climbing. Take the broad rib direct via a crack to reach the rounded top.
3) 25m. Scramble rightwards to belay below the small roof in the right arete of the rib.
4) 35m. A fitting finale. Rock around the nose to a scoop. Head up and left on the front of the pillar then finish up the crack. An easier finish can be had to the right.",https://www.ukclimbing.com/logbook/crags/sub_cneifion_rib-12238/sub-cneifion_rib-28748
Table Direct (Cadair Idris),52.69925,-3.90971,Gwynedd,VD,Cadair Idris - Penygadair,ridges_ewi,"Very Difficult (easy rock climb) · Cadair Idris - Penygadair · ★★★

Rockfax: The intimidating sheer wall below 'The Table' provides an atmospheric climb that is a brilliant way to access the start of Cyfrwy Arete itself. From Llyn y Gadair, go up scree to a fin of rock below the wall. Scramble up the gully on the right-hand side of the fin to a belay and gearing-up ledge just right of a rock pinnacle that leans against the face.
1) 9m. Climb up just right of the pinnacle and then move right to a belay.
2) 16m. Climb up left of a grassy corner and then head leftwards to belay at the base of a long corner.
3) 14m. Climb the blocky corner to a good ledge and belay.
4) 10m. From the right end of the ledge climb up and then left to a belay. From here an easy scramble leads down to the start of Cyfrwy Arete.",https://www.ukclimbing.com/logbook/crags/cadair_idris_-_penygadair-13781/table_direct-37257
The Bilberry Terrace (Y Lliwedd),53.05990,-4.05690,Gwynedd,M,Y Lliwedd,british_3_star,"Moderate (easy rock climb) · 305m · Y Lliwedd · ★★★

Rockfax: Bilberry Terrace is one of the most impressive and committing scrambles in Snowdonia. Is long with complex route finding but this allows you to weave a beautifully elegant line that delivers you straight to the summit of Lliwedd.
A high north-facing alpine-scale cliff, it will stay damp for several days after rain. The route is rarely in perfect condition and the difficult steps can feel serious if wet, hence a roped ascent is highly recommended. An early start will allow you to get the most of any morning sun that catches the face. The rock is generally solid, although care is needed with the rope to avoid knocking off loose blocks.
From Pen y Pass carpark, head up The Miner's Track to Llyn Llydaw and turn left at the pump house, just before the causeway, towards Lliwedd. The path crosses some small bridges and starts to rise up towards Lliwedd. After about 200m the path goes over a small knoll and flattens off for about 50m before rising again. From here, contour right towards the main cliff, heading slightly up, to a terrace that leads to below the east peak. You are aiming for a point below a large gully that splits the cliffs of the east and west peaks of Lliwedd.
Only two pitches are marked on the diagram since this route is usually climbed as a scramble.
1) From the gully, head up and right to a large square block with a quartz top. Follow the base of the crag up and right to where another terrace leads back right to a 25m step. Head up this to the start of the route. 
2) Go up the step to an unnerving move right onto the terrace itself. Belay immediately after the move.
3) Wander along the terrace - there are several good spike belays on the way. The terrace eventually peters out at a steep corner. Climb up to the 5m steep corner (large cam and wires protect). On the ledge, move left and up to another ledge and spike belay.
4) Traverse the exposed slab right to regain a terrace and continue along it past an awkward wide slot to a gully on the left with a prominent block arch bridging it. Spike belay on right.
5) Ignore the gully and continue along the terrace aiming for a notch on a ridge. This is 'Pinnacle Corner'. Go through the notch and up easy grass/heather to a small vegetated traverse.
6) Go 15m right along this below a prominent canon spike. Then continue on a short way before heading back up and left to belay off the canon spike. 
7) A vague line of weakness leads up diagonally left to a rock wall. Climb this on the left and regain the first ridge about 30m above Pinnacle Corner.
8) The second ridge can be seen about 30m to the left. Head left along a ledge and down slightly before heading back up to the ridge at another notch.
9) The third ridge can now be seen 30m left again. Take a rising line of weakness to a spike just right of the ridge. 
10) Now move right into a depression on the right of the ridge, up to a steep rocky corner, often a little damp. Climb this and belay on a spike above.
11) It is possible to zig-zag up the vague gully to the right of the ridge from here to the top and is the easiest option. However it is also possible to make a few more pitches up the frost-shattered ridge - care needed with the rock. If you take the ridge you arrive straight onto the summit.
Descent - Reverse the Lliwedd Traverse to Snowdon or follow that route over Snowdon. If you are wanting some more scrambling then you can either ascend the East RIdge of Snowdon to the summit or, much better in terms of quality scrambling, descend Cribau.",https://www.ukclimbing.com/logbook/crags/y_lliwedd-1214/the_bilberry_terrace-41465
The Bochlwyd Horseshoe (Tryfan),53.11535,-3.99819,Gwynedd,Grade-1,Tryfan,ridges_ewi,"Grade 1 scramble · Tryfan · ★★★

Tryfan North Ridge,Tryfan South Ridge,Bristly Ridge, Castell y Gwynt,Y Gribin.",https://www.ukclimbing.com/logbook/crags/tryfan-491/the_bochlwyd_horseshoe-85643
The Chasm Face (Glyder Fach),53.10511,-4.00775,Gwynedd,Grade-3,Glyder Fach,british_3_star,"Grade 3 scramble · Glyder Fach · ★★★

Rockfax: An amazing outing at the highest level of what is considered scrambling. The route follows the easiest line up the buttress but requires good skills and rope work and shouldn't be underestimated. Start by walking up to the left of the prominent triangle of the Alphabet Slab to below the gully.
1) Start up the gully until past an awkward chockstone, then move left on grassy ledges.
2) Step over the abyss of the chimney and scramble over stacked blocks to reach a triangular ledge below a corner.
3) Climb the wall left of the corner for a few metres and then head up and left up flakes and spikes to reach a belay in a notch below the narrow rampline leading up and right - the infamous 'Catwalk'.
4) Ascend the Catwalk in a spectacular position to a smooth step, then carry on up beneath a rock arch - 'The Arch Tempter'. 
Escape - If you struggle on 'The Chasm' you can go right to join Main Gully from here.
5) Above the arch are the upper reaches of 'The Chasm'. Straight above is the true Chasm, but this is best left for rock climbers and is described for them as the 'vertical-vice'. Instead, head up and left into a small slot. Squirm all the way back along the narrow corridor and then turn left again (rucksacks may need to be dragged behind you).
6) The chimney that heads up from here is much more in keeping with a scramble and leads you to the top of the buttress above difficulties.
7) Scramble up much more easily and either head over the summit of Glyder Fach or traverse across and head down the East Gully.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/the_chasm_face-51028
The North Ridge (Tryfan),53.11500,-3.99677,Gwynedd,Grade-1,Tryfan,british_3_star+ew_classics,"Grade 1 scramble · Tryfan · ★★★

Grade 1 scramble starting at Idwal Cottage (parking £4) on the A5. Walk along A5 to Milestone Buttress passing this up a gully on the left. Head right (straight up is the easier Heather Terrace) to the broad shoulder of the North Ridge. Many ways to go but can be taken easily or harder depending on the route you choose....obligatory Grade 1 scrambling but can be up to VDiff with exposure. Pass the 'Cannon' and head up steeper rock to the Far North Peak, down into a notch upto North Peak and onward to the Central Peak and Adam and Eve.

Rockfax: This is the most popular grade 1 scramble in Wales, if not the whole of the UK. Most weekends it is a regular procession of hillwalkers following the different mini-variation routes to the top. This popularity can mean that some people take wrong decisions and end up going down blind alleys. Be careful of following others and be aware that not every path is a good one! 
1) From the roadside lay-by below the ridge, go through the gate and follow the path up the side of the drystone wall to just below a cliff. 
2) A series of steps goes up and left. After 100m this turns into a boulder-strewn hillside. Pick your way up here, keeping just left of the cliff.
3) As the cliff disappears, carry on another 100m across awkward terrain to a shoulder.
4) Head up the right side of a scree slope then zig-zag your way up the hillside above. A couple of rock steps with a variety of routes lead to a final step to regain the broad ridge above a steepening.
5) Follow the ridge passing a rocky section to reach another flat area with a short cliff over to the right. Just below the cliff and to the right of the main track is The Canon Stone - a great photo opportunity.
6) After a short rise the path flattens before another more substantial rise. Pass this to the left side of the main ridge. This leads up to the base of the North Tower which has three options. Two are described here (see inset) and a third is a separate route along the Eastern Terrace (p.139).
7a) The easy option. Avoid the tower by descending a gully just left of the base and following Eastern Terrace around the tower for 80m to enter a gully on the far side of the tower. Scramble up the gully, passing a hanging block/bridge, to the col.
7b) The grade 2 option for experienced scramblers is to tackle the tower direct up its northeast rib. From the bottom left side, make an awkward step up and right on a fallen block and then traverse back left behind the pinnacle. Make your way up some stepped grooves to reach the more prominent northeast rib. Go up well-worn rock via a series of steps and small ledges to reach the mini-summit. Drop down to the col on the far side.
8) Continue along the ridge and, at the next rise, go right around a steeper section to below the final rise to the summit plateau.
9) Adam and Eve are the focal point of the summit. The jump/step between them is the stuff of legends and apparently gives you the freedom of the mountains for the day, whatever that means. Be warned though, it is not for the faint hearted and this is a bad place to break an ankle!",https://www.ukclimbing.com/logbook/crags/tryfan-491/the_north_ridge_summer-50491
The Parson's Nose (Clogwyn y Ddysgl),53.07700,-4.06780,Gwynedd,D,Clogwyn y Ddysgl,ridges_ewi,"Difficult (easy rock climb) · 75m · Clogwyn y Ddysgl · ★★

Rockfax: This classic route tackles the front of the nose of this ridge in a series of pleasant pitches. The route starts at the base of the rock nose, down and left of the main crag. It should be noted that this is a rock climb and requires knowledge of belay construction and multi-pitch techniques. The belays on this route are not always straightforward.
1) 25m. Climb directly up the low-angled slabs of clean rock.
2) 20m. Continue up the slab as it steepens, then trend diagonally right to a belay at the base of a shallow groove.
3) 15m. Climb diagonally rightwards, following a faint crack-line, to reach a large ledge above the gully on the right.
4) 15m. Easy ground leads to the summit of the nose. A descent can be made in the gully on the right (Western Gully), or join the scramble along the ridge of Clogwyn y Person Arete for a full day out.",https://www.ukclimbing.com/logbook/crags/clogwyn_y_ddysgl-696/the_parsons_nose-29146
The Snowdon Horseshoe (Crib Goch),53.07650,-4.05490,Gwynedd,Grade-1,Crib Goch,british_3_star+ridges_ewi,"Grade 1 scramble · Crib Goch · ★★★

The classic horseshoe circuit of Yr Wyddfa (Snowdon): up the knife-edge of Crib Goch, along Crib y Ddysgl to the summit, then back over Y Lliwedd. The most famous Grade 1 scramble in Wales — long, exposed and serious in wind or wet.",https://www.ukclimbing.com/logbook/crags/crib_goch-2032/the_snowdon_horseshoe_summer-61421
Wrinkled Tower (Tryfan),53.11465,-3.99701,Gwynedd,M,Tryfan,british_3_star,"Moderate (easy rock climb) · Tryfan · ★★★

Links Wrinkled Slabs to the Castle Chimney line on the tower itself.

Rockfax: A amazing route with challenging and engaging scrambling. The combination with Notch Arete is probably the best and most sustained outing on this face. From the runnel below the face, cut across scree to reach the base of the right-hand end of a heather covered slab, at a scree shoot.
1) Move up left from the gully on heather, then climb straight up the slabs aiming for a ledge below some stacked blocks. 
2) Gain the blocks by an easy-angled corner to the right, then move back left to the right-hand end of a big ledge, by a large pyramidal pinnacle.
3) Move left along the ledge, to below a 4m high flake and climb this to a rib on the left. Exposed climbing leads up on good holds. Pass left of the next pinnacle then go behind and to the right of it to a narrow gully. Bridge up this to more blocks. 
4) Above the climbing eases and you can follow the rib to a col below and left of the 'Faulty Tower'.
5) Traverse right below the Faulty Tower to the chimney that is partially blocked by a large flake. A good thrutch up the chimney leads to a bay above the flake. 
6) Above is hard, so move out to a ledge on the left and onto the exposed, polished and sloping gangway. This leads left to a mind-bending reach left for a flake jug on the arete. Get a sling on this to settle your nerves and make a final reach up for a good hold which leads to a slab and rather frantic scramble onto a ledge with block belays below another tower.
7) Gain the crest direct via some big moves. Alternatively, move left a few steps to climb the slot behind the pinnacle and make a bold step across onto the easier terrain. 
8) Easy scrambling leads to a clean slab split by a boot-eating crack with flake edges. 
9) Easy scrambling up the broken ridge leads to a broken heathery hillside. Head up towards the base of the North Tower.
Continuation - Go up North Ridge of Tryfan or Notch Arete. Descend North Ridge of Tryfan if you have had enough.",https://www.ukclimbing.com/logbook/crags/tryfan-491/wrinkled_tower-93888
Y Gribin,53.10510,-4.01700,Gwynedd,Grade-1,Y Gribin,british_3_star+ew_classics,"Grade 1 scramble · Y Gribin · ★★★

This ridge seperates Cwm Bochlwyd and Cwm Cneifion (so it also belongs to Glyder Fawr). A path lies on the west of the ridge but take the crest direct; reasonably simple with some exposure. A simple descent too.

Rockfax: A fine knife-edge ridge and a popular route that just merits a scrambling grade if you take the harder options. It is often used as a fine descent. Start from the base of the blunt ridge.
1) On the easy initial section, a path leads up the broad and predominantly grassy ridge to a large flat plateau which is often referred to as the 'football pitch'. Follow a path from the far end of the plateau to the start of the scramble proper, which has a couple of options.
2a) Follow the path up and right across the scree to reach the rocky ridge near a slab of rock. Gain the ridge by any means - easiest is a gully on the right side of the slab, but this misses some of the scrambling. 
2b) Alternatively, head up left from the edge of the football pitch to the lowest rock step on the ridge. Head over this and then follow the crest over the top of the aforementioned slab on the other start.
3) Follow the ridge as closely as possible. Conditions sometimes make this difficult if it is windy or the exposure is too much. If it gets too much there is an easier route to the right of the ridge. 
4) If you follow the ridge, an exposed short step where the ridge rears up briefly can be avoided on its right. It can also be taken direct in an exposed position. 
5) Before long you arrive at the top of the ridge near a small wind shelter.
Descent - Either head to Glyder Fach and descend one of the routes from there, or head towards the summit of Glyder Fawr and descend Seniors Ridge. Alternatively you can traverse Glyder Fawr and descend into The Devil's Kitchen.",https://www.ukclimbing.com/logbook/crags/y_gribin-18789/y_gribin-51002
Y Gribin (Yr Wyddfa [Snowdon]),53.06840,-4.07600,Gwynedd,Grade-1,Yr Wyddfa [Snowdon],ridges_ewi,"Grade 1 scramble · Yr Wyddfa [Snowdon] · ★★

Snowdon's Y Gribin: the rocky rib rising between Glaslyn and Llyn Llydaw to Bwlch y Saethau — a quieter, well-positioned Grade 1 alternative to the Miners' Track slog.",https://www.ukclimbing.com/logbook/crags/yr_wyddfa-4025/y_gribin_summer-83669
Broad Buttress (Barkeval),56.99170,-6.31900,Hebrides,Grade-3,Barkeval,british_3_star,"Grade 3 scramble · 120m · Barkeval · ★★★

RH part of crag consists of 2 ribs running its full height, each with a steep right flank. This is the left hand one, most easily reached by descending the right hand rib, which has a grassy saddle at its top, easily seen from the summit of Barkeval. Route starts up steep juggy outcrops of superb peridotite, reaching an open terrace at half height (Narnia and Honeycomb Aretes are just off right here). Broad Buttress continues slightly left up cracked slabs, then direct to top.",https://www.ukclimbing.com/logbook/crags/barkeval-11859/broad_buttress-262888
C Buttress (Gillaval Dubh),57.92240,-6.83130,Hebrides,Grade-3,Gillaval Dubh,british_3_star,"Grade 3 scramble · 250m · Gillaval Dubh · ★★★

Start at slabs on bottom right and keep heading up! The best scramble in Harris.",https://www.ukclimbing.com/logbook/crags/gillaval_dubh-19935/c_buttress-291686
D Buttress (Gillaval Dubh),57.92140,-6.83130,Hebrides,M,Gillaval Dubh,british_3_star,"Moderate (easy rock climb) · 250m · Gillaval Dubh · ★★★

Start at slabs on bottom left on friction. Where buttress steepens either tackle it direct (old peg) or go up the right edge. Higher up move to the left edge and climb a thinner rib to the top.",https://www.ukclimbing.com/logbook/crags/gillaval_dubh-19935/d_buttress-291687
Narnia Arête (Barkeval),56.99070,-6.31900,Hebrides,M,Barkeval,british_3_star,"Moderate (easy rock climb) · 105m · Barkeval · ★★★

There are 2 prominent ribs on the right hand side of the crag, both with steep right flanks and going the full height of the cliff. Between the top part of these are 2 shorter sharper ribs. This is the left-hand and sharpest one, best accessed by doing the lower part of Broad Buttress (the lower of  the 2 longer ribs). Once found, the line is obvious, climb the arête direct on superb jugs.",https://www.ukclimbing.com/logbook/crags/barkeval-11859/narnia_arete-262885
Am Fasarinen Traversee (Liathach),57.56410,-5.46360,Highland,Grade-2,Liathach - Spidean a' Choire Leith,british_3_star,"Grade 2 scramble · Liathach - Spidean a' Choire Leith · ★★★

The famous pinnacle traverse of Am Fasarinen on Liathach — an exposed Grade 2 crest between the mountain's tops, with huge drops to Glen Torridon. A bypass path exists, but the crest is the point.",https://www.ukclimbing.com/logbook/crags/liathach_-_spidean_a_choire_leith-715/am_fasarinen_traversee-589748
Aonach Eagach Ridge,56.67950,-5.03750,Highland,Grade-2,Aonach Eagach - Sgorr nam Fiannaidh,british_3_star,"Grade 2 scramble · Aonach Eagach - Sgorr nam Fiannaidh · ★★★

The summer traverse of the Aonach Eagach is one of the great classic British hill days, featuring quality hillwalking and exposed but straightforward scrambling in an exhilarating setting",https://www.ukclimbing.com/logbook/crags/aonach_eagach_-_sgorr_nam_fiannaidh-562/aonach_eagach_ridge_summer-51021
Barn Wall Route (Aonach Dubh),56.65500,-5.02820,Highland,M,Aonach Dubh,british_3_star,"Moderate (easy rock climb) · Aonach Dubh · ★★★

Start at the highest point of the bottom of the Barn Wall and take the easiest line to the top.",https://www.ukclimbing.com/logbook/crags/aonach_dubh-23162/barn_wall_route-108250
Carn Mor Dearg Arete (Ben Nevis),56.79665,-5.00301,Highland,,Ben Nevis,british_3_star,"Grade 1 scramble · Ben Nevis

The great whaleback arete linking Carn Mor Dearg to Ben Nevis — a long, airy Grade 1 crest of granite blocks above Coire Leis, with the Ben's cliffs for a backdrop. Usually done as part of the CMD round, finishing up the boulder slope to the summit.",https://www.ukclimbing.com/logbook/crags/ben_nevis-16877/carn_mor_dearg_arete-144164
Castle Ridge (Ben Nevis),56.79665,-5.00459,Highland,M,Ben Nevis,british_3_star,"Moderate (easy rock climb) · Ben Nevis · ★★★

The northernmost of Ben Nevis's great ridges, rising straight from the Allt a' Mhuilinn — a Moderate mountaineering line with a steep chimney crux high up and sensational situations.",https://www.ukclimbing.com/logbook/crags/ben_nevis-16877/castle_ridge-68945
Curved Ridge (Buachaille Etive Mor),56.64630,-4.90040,Highland,M,Buachaille Etive Mor,british_3_star,"Moderate (easy rock climb) · 240m · Buachaille Etive Mor · ★★★

The classic mountaineering line up Buachaille Etive Mor's Rannoch face — clean, blocky scrambling beside Crowberry Ridge with Rannoch Moor at your back, topping out near Crowberry Tower below Stob Dearg's summit.",https://www.ukclimbing.com/logbook/crags/buachaille_etive_mor-387/curved_ridge_summer-36001
Eagles Nest Slabs (Garbh Bheinn),56.70450,-5.42510,Highland,Grade-3,Garbh Bheinn,british_3_star,"Grade 3 scramble · Garbh Bheinn · ★★★

Long clean gneiss slabs below the Eagle's Nest area of Garbh Bheinn of Ardgour — easy-angled padding in a grand setting above Loch Linnhe.",https://www.ukclimbing.com/logbook/crags/garbh_bheinn_highland-554/eagles_nest_slabs-619951
Forcan Ridge (The Saddle),57.16190,-5.41680,Highland,Grade-2,The Saddle,british_3_star,"Grade 2 scramble · The Saddle · ★★★

Fantastic grade 2 scramble if you keep to the crest but you can escape round most obstacles on the path below it.",https://www.ukclimbing.com/logbook/crags/the_saddle-14788/forcan_ridge_summer-142250
Ledge Route (Ben Nevis),56.79740,-5.00380,Highland,Grade-2,Ben Nevis,british_3_star,"Grade 2 scramble · 450m · Ben Nevis · ★★★

""An excellent scramble through magnificent scenery. Start up Number Five Gully, and break out right on the first ledge from the foot of the gully proper. Follow this until it becomes impractical, then take a shallow gully that leads up and slightly left to a higher ledge. Follow the higher ledge to the right passing a large pinnacle block to reach the easy angled crest of the Great Buttress of Carn Dearg by a large cairn. Follow the crest of the buttress to the north-west summit of Carn Dearg."" Nisbet, A. et al (2005) Scottish Rock Climbs, Leicester; Scottish Mountaineering Club",https://www.ukclimbing.com/logbook/crags/ben_nevis-16877/ledge_route-123463
Long Stroll Slab (Ruadh-stac Beag),57.59700,-5.39360,Highland,Grade-3,Ruadh-stac Beag,british_3_star,"Grade 3 scramble · 100m · Ruadh-stac Beag · ★★★

Large triangular slab on NE flank of hill. Start direct and dodge overlap on left. Much easier than it looks. Overlap direct is  V Diff.",https://www.ukclimbing.com/logbook/crags/ruadh-stac_beag-13026/long_stroll_slab-241065
Lurgainn Edge (Cul Beag West face),58.02920,-5.15500,Highland,Grade-3,Cul Beag West face,british_3_star,"Grade 3 scramble · Cul Beag West face · ★★★

A Grade 3 sandstone edge on the west face of Cul Beag above Loch Lurgainn — steep terraced scrambling in the heart of Coigach, with Stac Pollaidh's crest across the water.",https://www.ukclimbing.com/logbook/crags/cul_beag_west_face-1584/lurgainn_edge-253284
Rum Cuillin Traverse (Askival),56.97440,-6.29170,Highland,M,Askival,british_3_star,"Moderate (easy rock climb) · Askival · ★★★

The full traverse of the Rum Cuillin — Askival, Hallival, Trollaval, Ainshval and Sgurr nan Gillean — a huge, remote island mountaineering day on rough gabbro with scrambling to Moderate standard.",https://www.ukclimbing.com/logbook/crags/askival-11861/rum_cuillin_traverse-206842
The Dubh Ridge (The Dubh Slabs),57.20750,-6.17940,Isle of Skye,M,The Dubh Slabs,british_3_star,"Moderate (easy rock climb) · 920m · The Dubh Slabs · ★★★

Excellent scramble. Limited opportunity for escape. 20m  abseil at end can be downclimbed at VD or avoided by a scramble back and left side (looking out from the ab point).",https://www.ukclimbing.com/logbook/crags/the_dubh_slabs-3490/the_dubh_ridge-60243
